Komentar,Rating,Jumlah Berguna,Tanggal
"Untuk sampai dgn saat ini dibanding BNI Mobile Banking, masih lebih suka pake BNI Mobile Banking yg lama. Wondr by BNI kurang lengkap, di transaksi tidak muncul keterangan note/catatan transaksi yg biasanya ditambahkan ketika transaksi, menyebabkan saya kesulitan utk melacak transaksi apa yg sudah dilakukan, misalnya catatan : BAYAR PASIR DAM atau BELI BATAKO LUNAS 1000PCS... dst... Juga di keterangan Transaksi tidak lagi disertakan SALDO berurutan sesuai keluar masuk dana. Saldo hanya di depan.",3,196,2024-09-01
"Knp ya ada saldo ,tapi blm juga 6 bulan. Rekening ga aktif. Harus ke cabang untuk aktifkannya.",3,135,2024-09-09
"Sebenarnya ini aplikasi bagus, lengkap, ringan & responsif. Mungkin yang perlu ditingkatkan lagi masalah verifikasi wajah pada waktu mendaftar terutama bagian mengedipkan mata sering gagal dan aplikasinya tidak bisa di screenshot. Mohon dilengkapi juga koneksi e-Wallet nya jangan hanya LinkAja. Terimakasih",3,76,2024-07-09
"Tolong ini setiap kali mau buka aplikasi loadingnya lama banget, bikin kesel apalagi kalo lagi buru2, padahal jaringan juga bagus, aplikasi BNI yang sebelumnya nggak kaya gini padahal.. Yang sebelumnya itu klo buka aplikasi ya langsung muncul opsi ""login, dll"" tapi aplikasi yang baru ini lemot banget. Untuk fitur sebenarnya udah bagus, tapi tolong dong di tingkatkan lagi gmn biar gk loading lama tiap masuk aplikasi. Thx",3,70,2024-09-01
Masukan penting 1. Notif keluar selalu ada tapi notif uang masuk selalu sangat telat dan bahkan kadang tidak ada.. Sebagai pelaku bisnis ini sangat tidak nyaman karna pelanggan transfer DP tidak ada notif nya dan di histori juga saldo masuk tidak ada.. 2. kemudahan juga masih mudah di bank sebelah tentang beli pulsa dan token listrik. Semoga lebih di tingkatkan lagi kedepan nya agar pelanggan tetep betah pakai.,3,62,2024-08-27
"Untuk pengecekan history transaksi mungkin bisa ditingkatkan lagi, biar bisa seperti bni mobile dimana kita bisa tau biaya penagihan bulanan rekening dan kartu. Sistem masih perlu peningkatan, gua transfer gak bisa pakai wondr karna gangguan, eh pakai yg mobile banking malah bisa.",3,60,2024-10-04
"Semenjak pembaharuan terakhir, jadi susah dibuka apk nya. Loadingnya lama banget padahal jaringan bagus, apk yang lain juga bisa dibuka, cuman wondr by bni aja yang loadingnya lamanya kebangetan. Padahal sebelum²nya bagus dipake, lebih mudah dan fleksibel buat login atau mau bayar qris, tapi sejak pembaharuan terakhir jadi kek gini apk nya, jadi susah dibuka.",3,42,2024-11-09
Setelah pakai wondr bbrp bulan sering sekali Error ya... Selalu muncul Pesan : Ada sedikit Kendala.... Tim sedang memperbaiki... Silakan coba lagi.... (setelah dicoba bbrp x ya sama saja). Sebaiknya Jika masih banyak perbaikan dan pengembangan tidak mengganggu kenyamanan nasabah.... Akhirnya saya Download lagi versi Orange. Penempatan menu cukup baik lebih cepat.(Apa karena baru).,3,37,2024-10-10
"Keseluruhan udah bagus, tapi saya saran aja untuk proses login nya dipermudah lagi. Karena saya dapat kasus dimana apknya eror selalu di halaman bagian persyaratan dan persetujuan(3 centang tuh). Dan setelah saya instal ulang ternyata password saya malah salah. Padahal saya ada catatannya tapi di aplikasi malah bilang password yang saya masukkan itu salah. Dan juga untuk pinnya juga sama. ADA JUGA setelah saya ajukan lupa password maupun pin, proses login nya ribet. Udah itu aja keluhan saya.",3,35,2024-12-04
"Menurut saya malah lebih bagus yg BNI Mobile bangking krn riwayat transaksinya lebih lengkap,keterangan bs terbaca banyak dan setelah ada transaksi masuk atau keluar ada saldo jg jd ngecek2 lebih mudah. Di wonder keterangan traksasi minimalis..",3,32,2024-08-27
